module	level	name	priority	due	customers	type	delivery	size	status
Engine	0	[O2] Make turn-taking natural and robust	–	–	–	–	–	–
Engine	1	[O2.1] Launch and scale Semantic SOS	–	–	–	–	–	–
Engine	2	[O2.1-T1.a] Make Semantic SOS publicly available	P0	2026-09	–	Feature Request	Production - GA	–
Engine	2	[O2.1-T2.a] Reduce Semantic SOS cost and latency	P0	2026-11	–	Reliable Infra	–	–
Engine	2	[O2.1-T3.a] Review multilingual Semantic SOS expansion	P1	–	–	Feature Request	–	–
Engine	1	[O2.5] Recover from recognition errors	–	–	–	–	–	–
Engine	2	[O2.5-T2.a] Support STT dictionaries and keyword boosting	P1	2026-08	–	Feature Request	–	–	CLARIFIED
Engine	2	[O2.5-T1.a] Clarify likely ASR errors	P1	2026-11	–	Feature Request	–	–
Engine	1	[O2.2] Recover SIP speaker identity	–	–	–	–	–	–
Engine	2	[O2.2-T1.a] Add dynamic SIP speaker locking	P1	2026-10	–	Feature Request	–	–
Engine	1	[O2.4] Deliver MMEOS and natural listening	–	–	–	–	–	–
Engine	2	[O2.4-T2.a] Add active-listening backchannels	P1	2026-10	–	Feature Request	POC	–
Engine	2	[O2.4-T3.a] Document user-first opening behavior	P2	2026-11	–	Feature Request	–	–
Engine	2	[O2.4-T1.a] Deliver English MMEOS	P1	2026-12	–	Feature Request	–	–
Engine	1	Normalize multi-speaker diarization for transcripts and agent policy	P1	–	–	Feature Request	–	–
Engine	0	[O5] Meet customer demand and close competitive gaps	–	–	–	–	–	–
Engine	1	[O5.3] Normalize RAG provider integration	–	–	–	–	–	–
Engine	2	[O5.3-T1.a] Validate the normalized RAG contract	P1	2026-09	Hilton	Dev Experience	–	–
Engine	1	[O5.2] Stabilize public APIs and provider controls	–	–	–	–	–	–
Engine	2	[O5.2-T2.b] Map provider controls and gaps	P1	2026-11	–	Dev Experience	–	–
Engine	2	[O5.2-T2.a] Normalize provider controls	P1	2026-11	–	Dev Experience	–	–
Engine	2	[O5.2-T1.e] Stabilize public APIs and SDK controls	P0	2026-09	–	Dev Experience	–	–
Engine	3	Scope all REST APIs to project app IDs	–	–	–	Dev Experience	–	–
Engine	3	Agora Agent - make Agent Studio and Call Agent APIs public	P0	2026-10	–	Dev Experience	–	M-L
Engine	4	Collaboration with QianZe fill the gaps of SDK contract	P0	–	–	–	–	–
Engine	2	[O5.2-T1.a] Add append mode to the Think API	P0	2026-09	xAI	Dev Experience	–	–	CLARIFIED
Engine	2	[O5.2-T1.c] Make RTC token and UID optional in Join	P0	2026-09	–	Dev Experience	–	–
Engine	2	[O5.2-T1.b] Support string UIDs in Join	P0	2026-09	–	Dev Experience	–	–
Engine	2	[O5.2-T1.d] Infer Join feature flags from configuration	P0	2026-09	–	Dev Experience	–	–
Engine	2	Offer managed testing credentials across the model provider catalog	P1	–	–	Feature Request	–	–
Engine	2	Add cross-provider failover for ASR, LLM, TTS, and multimodal models	P1	–	–	Reliable Infra	–	–
Engine	1	[O5.1] Deliver customer and competitive features	–	–	–	–	–	–
Engine	2	[O5.1-T6.a] Prototype a live-call overseer	P1	2026-10	–	Feature Request	–	–
Engine	2	[O5.1-T3.a] Support GET and POST agent tools	P1	2026-08	Platform (Studio)	Dev Experience	Production - GA	L
Engine	2	[O5.1-T9.a] Define competitor agent import scope	P2	–	–	Dev Experience	–	–
Engine	2	[O5.1-T7.a] Scope text-only agents	P2	–	–	Feature Request	–	–
Engine	2	[O5.1-T8.a] Evaluate code-defined pipelines	P2	–	Cresta	Dev Experience	–	–
Engine	2	[O5.1-T2.a] Summarize calls for warm transfer	P1	2026-08	–	Feature Request	–	–
Engine	2	[O5.1-T1.a] Publish the former GK capability boundary	P0	2026-08	–	Feature Request	Supernode - Experimental	–
Engine	2	[O5.1-T5.a] Add continuous video understanding	P1	2026-09	–	Feature Request	–	–
Engine	2	[O5.1-T10.a] Define MCP registration over RTM	P2	–	–	Dev Experience	–	–
Engine	2	[O5.1-T4.a] Evaluate Google conversation modes	P2	2026-08	–	Feature Request	–	–
Engine	2	Evaluate a private or customer-operated Conversational AI runtime	P2	–	–	Reliable Infra	–	–
Engine	0	[O3] Deliver consistent performance and regional scale	–	–	–	–	–	–
Engine	1	[O3.4] Make capacity and recovery predictable	–	–	–	–	–	–
Engine	2	[O3.4-T1.b] Establish the service performance baseline	P0	2026-09	–	Reliable Infra	–	–
Engine	3	[Demo app & Call] Reduce end-to-end latency across Engine, audio, SIP, and Supernode placement	P0	2026-09	–	Reliable Infra	–	–	CLARIFIED
Engine	2	[O3.4-T1.a] Operate capacity and key allocation	P0	2026-10	–	Reliable Infra	Production - GA	XL
Engine	2	[O3.4-T2.a] Rehearse degraded-session recovery	P1	–	–	Reliable Infra	Production - GA	L
Engine	2	[O3.4-T3.a] Add self-service agent concurrency controls	P1	2026-09	–	Reliable Infra	–	–
Engine	2	[O3.4-T3.b] Meter Studio usage on Engine	P0	2026-09	–	Reliable Infra	–	–
Engine	1	[O3.1] Launch Tier-2 and Tier-3 Supernode	–	–	–	–	–	–
Engine	2	[O3.1-T1.b] Launch the Tier-3 Supernode path	P0	2026-09	–	Reliable Infra	Supernode - Prod	XL
Engine	2	[O3.1-T1.a] Launch the Tier-2 North America preview	P0	2026-09	–	Reliable Infra	–	–
Engine	1	[O3.2] Select controlled LLM inference	–	–	–	–	–	–
Engine	2	[O3.2-T1.a] Select the controlled LLM inference path	P0	2026-09	–	Reliable Infra	–	–
Engine	1	[O3.5] Optimize selected open-source models	–	–	–	–	–	–
Engine	2	[O3.5-T1.a] Optimize selected open-source models	P1	2026-11	–	Reliable Infra	–	–
Engine	1	[O3.3] Publish regional access and fallback	–	–	–	–	–	–
Engine	2	[O3.3-T1.a] Publish the regional model access matrix	P0	2026-11	–	Reliable Infra	–	–
Engine	2	[O3.3-T2.a] Deploy approved regional model paths	P1	2026-12	–	Reliable Infra	–	–
Engine	0	[O1] Productize the low-latency experience	–	–	–	–	–	–
Engine	1	[O1.1] Release a unified pipeline template	–	–	–	–	–	–
Engine	2	[O1.1-T2.a] Align vendor support and provision keys	P0	2026-09	–	Dev Experience	Production - GA	–	IN VERSION
Engine	3	Murf.ai in benchmark	P1	–	–	–	–	–
Engine	3	Murf.ai in Studio / Engine as resell	P1	–	–	–	–	–
Engine	2	[O1.1-T3.a] Verify agent configuration propagation	P0	2026-08	–	Reliable Infra	Production - GA	–	IN VERSION
Engine	2	[O1.1-T1.c] Return accepted runtime configuration and fallback	P0	2026-09	–	Dev Experience	–	–
Engine	2	[O1.1-T1.d] Release the pipeline template across product surfaces	P0	2026-09	–	Dev Experience	–	–
Engine	2	[O1.1-T1.a] Compose the low-latency pipeline template	P0	2026-09	–	Dev Experience	–	–
Engine	2	[O1.1-T1.b] Add greeting and silence-recovery controls	P1	2026-09	–	Dev Experience	–	–
Engine	1	[O1.2] Deliver natural filler words	–	–	–	–	–	–
Engine	2	[O1.2-T1.a] Ship generated filler words	P0	2026-08	Entel	Feature Request	Production - GA	M-L
Engine	2	[O1.2-T1.c] Add filler words during tool execution	P1	2026-10	–	Feature Request	–	–
Engine	2	[O1.2-T1.b] Add context and persona to generated filler words	P0	2026-09	–	Feature Request	–	–
Engine	2	[O1.2-T1.d] Continue answers after filler words	P0	2026-10	–	Feature Request	–	–
Engine	1	[O1.6] Standardize TTS behavior and controls	–	–	–	–	–	–
Engine	2	[O1.6-T1.a] Add configurable background ambience	P1	2026-10	–	Feature Request	–	–
Engine	2	[O1.6-T2.b] Add TTS SSML and pronunciation controls	P1	2026-11	–	Feature Request	–	–
Engine	2	[O1.6-T2.a] Normalize text for speech synthesis	P0	2026-10	–	Feature Request	–	–
Engine	2	[O1.6-T3.a] Complete regional voice field tests	P1	2026-12	–	Feature Request	–	–
Engine	2	[O1.6-T2.c] Add expressive TTS controls and model prompts	P1	2026-12	–	Feature Request	–	–
Engine	2	Close TTS coverage gaps across languages, regional accents, and dialects	P0	–	–	QoE	–	–
Engine	1	[O1.4] Reduce Semantic EOS default latency	–	–	–	–	–	–
Engine	2	[O1.4-T1.a] Set the Semantic EOS default to 240 ms	P0	2026-09	–	Feature Request	–	–
